ID,YEAR,MONTH,ENTITY,ACCOUNT,DIRECTION,CURRENCY,PROJ_TYPE,PROJ_CODE,AMOUNT
5,2018,4,2000,140401,S,CNY,P003,X0002,2230000
12,2017,13,1000,140401,S,CNY,P003,P0030001,324717000
19,2017,13,4911,140401,S,CNY,P003,P003A001,7600000
22,2017,14,4501,140401,S,CNY,P003,ZB0001,244102.6
27,2017,13,4913,140401,S,CNY,P003,P003B002,1000000
28,2018,4,7227,140401,S,CNY,P003,A0000,661178.1
30,2018,4,2000,140401,S,CNY,P003,X0001,5000000
42,2018,4,7234,140401,S,CNY,P003,A0001,1545810.1
64,2018,4,7227,140404,H,CNY,P003,A0000,-661178.1
65,2018,2,1711,140401,S,CNY,P003,A0001,11000000
76,2018,4,7200,140401,S,CNY,P003,A0004,3700000
77,2018,4,7014,140401,S,CNY,P003,A0004,1053000
78,2018,4,2000,140401,S,CNY,P003,X0003,5000000
80,2018,2,1711,140401,H,CNY,P003,A0001,-11000000
82,2018,4,7080,140401,S,CNY,P003,A0001,1000000
86,2017,14,4501,140401,S,CNY,P003,ZB0001,1935384.4
93,2017,13,4913,140401,S,CNY,P003,P003B001,88426107.9
96,2017,14,4501,140401,S,CNY,P003,ZB0001,390906.1
99,2017,14,4501,140401,S,CNY,P003,ZB0001,7902585.3
101,2018,4,7227,140401,S,CNY,P003,A0001,500000
103,2018,4,7031,140401,S,CNY,P003,A0001,571608.3
